outer_fold,segments,top_k,pr_auc,f1
10,2,3,0.7579941498006828,0.7139682539682539
10,3,1,0.890132275132275,0.7417989417989418
10,3,2,0.8852085039143862,0.7722751322751322
10,3,3,0.7579941498006828,0.7139682539682539
10,4,1,0.90510868010868,0.7774074074074074
10,4,2,0.8907120194620194,0.8314814814814814
10,4,3,0.768055438650008,0.7825396825396825
10,5,1,0.9394505260597215,0.8453968253968255
10,5,2,0.9089178180270134,0.8433862433862434
10,5,3,0.7957821711852262,0.7825396825396825
10,6,1,0.8772489515033375,0.7822751322751321
10,6,2,0.8820732323232323,0.7730687830687831
10,6,3,0.8417948566414727,0.7825396825396825
10,7,1,0.9248148148148146,0.8112698412698413
10,7,2,0.8994931408460819,0.7722751322751322
10,7,3,0.8676393842240698,0.7562433862433863
10,8,1,0.9033038861299729,0.7907936507936507
10,8,2,0.91877950310559,0.7854497354497354
10,8,3,0.8869349552108171,0.8116402116402116
10,9,1,0.8944113756613756,0.7730687830687831
10,9,2,0.894712401795735,0.7730687830687831
10,9,3,0.869667191731945,0.7825396825396825
10,10,1,0.8738644102441383,0.8239682539682539
10,10,2,0.8824376086876086,0.7775132275132274
10,10,3,0.8694151632681045,0.7722751322751322
10,11,1,0.8579008999549279,0.7716402116402116
10,11,2,0.8932391915725247,0.7997354497354496
10,11,3,0.8774793679632389,0.7997354497354496
10,12,1,0.8825888879988963,0.7311111111111112
10,12,2,0.891568795180135,0.7921164021164021
10,12,3,0.8861455673955674,0.7730687830687831
10,13,1,0.8470357679083169,0.7038816738816739
10,13,2,0.86344837032194,0.7997354497354496
10,13,3,0.8593686868686868,0.8187830687830687
10,14,1,0.830355339105339,0.7103174603174602
10,14,2,0.8796553371553372,0.7921164021164021
10,14,3,0.8662542874080416,0.7730687830687831
10,15,1,0.7823793121509841,0.7024338624338624
10,15,2,0.8705921837784583,0.806084656084656
10,15,3,0.8789377607601344,0.7921164021164021
11,1,1,0.662744995881959,0.5555555555555557
11,1,2,0.662744995881959,0.5555555555555557
11,1,3,0.662744995881959,0.5555555555555557
11,2,1,0.7227835121457741,0.6187301587301588
11,2,2,0.662744995881959,0.5555555555555557
11,2,3,0.662744995881959,0.5555555555555557
11,3,1,0.8339108170815707,0.6801587301587301
11,3,2,0.8187802687371651,0.6831746031746031
11,3,3,0.662744995881959,0.5555555555555557
11,4,1,0.8417550400529124,0.6652910052910053
11,4,2,0.8228106973783664,0.7361904761904762
11,4,3,0.685830169441692,0.7158730158730157
11,5,1,0.8733176375281639,0.7510245310245309
11,5,2,0.8349697460162577,0.7361904761904762
11,5,3,0.711632346588498,0.7158730158730157
11,6,1,0.8228581603581603,0.6846031746031744
11,6,2,0.8257887774993039,0.7084126984126983
11,6,3,0.759684305239504,0.6884126984126984
11,7,1,0.8559263544387158,0.6415873015873016
11,7,2,0.8401466296337172,0.6865079365079365
11,7,3,0.7802510707547824,0.6712698412698412
11,8,1,0.83707943737549,0.6846031746031745
11,8,2,0.8406272764361,0.6639682539682539
11,8,3,0.8311165148665148,0.6785714285714285
11,9,1,0.8545117845117844,0.6993650793650794
11,9,2,0.827272129006,0.7046031746031746
11,9,3,0.7943584755687086,0.6657142857142856
11,10,1,0.8288571428571427,0.6976190476190477
11,10,2,0.8207380537219247,0.7106349206349206
11,10,3,0.8002233822822059,0.6798412698412698
11,11,1,0.7856051759284024,0.6901587301587302
11,11,2,0.8335336483865896,0.7211111111111111
11,11,3,0.8162413217450764,0.7211111111111111
11,12,1,0.8282676045176045,0.6825925925925925
11,12,2,0.8312036270523124,0.6526984126984128
11,12,3,0.8123760333434205,0.7046031746031746
11,13,1,0.7925564959420874,0.6323280423280423
11,13,2,0.8190766393598057,0.7603174603174602
11,13,3,0.8052891460391459,0.7211111111111111
11,14,1,0.7505310079814723,0.6265079365079366
11,14,2,0.8151035926035927,0.634920634920635
11,14,3,0.7904299811248302,0.7084126984126983
11,15,1,0.7303415551072805,0.6084126984126984
11,15,2,0.8179186554186555,0.6434920634920636
11,15,3,0.8143321941148028,0.7084126984126983
12,1,1,0.6877367914583058,0.6612698412698413
12,1,2,0.6877367914583058,0.6612698412698413
12,1,3,0.6877367914583058,0.6612698412698413
12,2,1,0.7443463276896618,0.6726984126984126
12,2,2,0.6877367914583058,0.6612698412698413
12,2,3,0.6877367914583058,0.6612698412698413
12,3,1,0.9142328042328042,0.705185185185185
12,3,2,0.8483577533577532,0.6914814814814814
12,3,3,0.6877367914583058,0.6612698412698413
12,4,1,0.9073148148148148,0.7781155881155881
12,4,2,0.8568149081507989,0.7742857142857141
12,4,3,0.7115276012564852,0.7085714285714285
12,5,1,0.912628205128205,0.7863492063492062
12,5,2,0.8680973453940204,0.7345502645502645
12,5,3,0.7533730761991632,0.737936507936508
12,6,1,0.8953066378066378,0.7826984126984127
12,6,2,0.8624909086441593,0.6983068783068782
12,6,3,0.7993859981190544,0.7203174603174602
12,7,1,0.9241402116402114,0.7134391534391534
12,7,2,0.8955210792682187,0.7289947089947089
12,7,3,0.8203268115326939,0.7073544973544972
12,8,1,0.8260837348988125,0.7285714285714284
12,8,2,0.8819920634920633,0.6922222222222222
12,8,3,0.8545064935064933,0.7291534391534391
12,9,1,0.8866596638655461,0.7234391534391534
12,9,2,0.8722943722943721,0.7054497354497353
12,9,3,0.817741904491265,0.7204761904761905
12,10,1,0.8645131810990011,0.7871428571428571
12,10,2,0.8664101317362186,0.7687301587301586
12,10,3,0.8414908103592313,0.6983068783068782
12,11,1,0.7929897696773964,0.7571428571428569
12,11,2,0.867732804232804,0.6983068783068782
12,11,3,0.8456789321789322,0.7287830687830686
12,12,1,0.8450459725459726,0.6432130832130832
12,12,2,0.8633333333333333,0.7219047619047618
12,12,3,0.8438985507246376,0.7054497354497353
12,13,1,0.8111666002842473,0.668888888888889
12,13,2,0.8589722006388673,0.73010582010582
12,13,3,0.8380401352460176,0.6983068783068782
12,14,1,0.772975922098237,0.6403703703703704
12,14,2,0.8534175084175083,0.7144973544973544
12,14,3,0.8280314329346836,0.6983068783068782
12,15,1,0.7702123094297005,0.6884126984126984
12,15,2,0.83265873015873,0.7009523809523809
12,15,3,0.8387777777777777,0.6983068783068782
13,1,1,0.8094853534456218,0.670952380952381
13,1,2,0.8094853534456218,0.670952380952381
13,1,3,0.8094853534456218,0.670952380952381
13,2,1,0.8736359284752581,0.7764021164021165
13,2,2,0.8094853534456218,0.670952380952381
13,2,3,0.8094853534456218,0.670952380952381
13,3,1,0.9348160209710362,0.822116402116402
13,3,2,0.9031361212649246,0.7961375661375663
13,3,3,0.8094853534456218,0.670952380952381
13,4,1,0.911609828743975,0.8047619047619048
13,4,2,0.8962780844886108,0.7929100529100529
13,4,3,0.8485544994316924,0.7841269841269842
13,5,1,0.9224152066257328,0.8779365079365079
