segments,top_k,threshold,pr_auc,f1,precision,recall
24,6,0.002784763230010867,0.8167746183065275,0.8181818181818182,0.8571428571428571,0.782608695652174
24,7,0.0029403872322291136,0.8137284225606282,0.8,0.9411764705882353,0.6956521739130435
24,8,0.00268870429135859,0.7944063215324295,0.8,0.9411764705882353,0.6956521739130435
24,9,0.00249156029894948,0.775309902088208,0.8,0.9411764705882353,0.6956521739130435
24,10,0.0022911152336746454,0.751818073572267,0.8,0.9411764705882353,0.6956521739130435
25,1,0.01043064333498478,0.6354090646993734,0.6857142857142857,1.0,0.5217391304347826
25,2,0.006478415802121162,0.7571646927052492,0.7894736842105263,1.0,0.6521739130434783
25,3,0.004670569207519293,0.7944758764876401,0.8095238095238095,0.8947368421052632,0.7391304347826086
25,4,0.004393622744828463,0.8055984044580964,0.8205128205128205,1.0,0.6956521739130435
25,5,0.003789760870859027,0.7991339606108572,0.8,0.9411764705882353,0.6956521739130435
25,6,0.003360904986038804,0.7903680788958023,0.8,0.9411764705882353,0.6956521739130435
25,7,0.0030171580146998167,0.7809435914781511,0.8,0.9411764705882353,0.6956521739130435
25,8,0.002756991656497121,0.7678819686627693,0.8,0.9411764705882353,0.6956521739130435
25,9,0.002553279045969248,0.756197950547288,0.8,0.9411764705882353,0.6956521739130435
25,10,0.002386535285040736,0.746834298932212,0.8,0.9411764705882353,0.6956521739130435
26,1,0.00871727243065834,0.5757948063306154,0.6111111111111112,0.8461538461538461,0.4782608695652174
26,2,0.0067602284252643585,0.7637105298444998,0.7894736842105263,1.0,0.6521739130434783
26,3,0.004783863667398691,0.8021825723065619,0.8095238095238095,0.8947368421052632,0.7391304347826086
26,4,0.004273022525012493,0.8131534096244487,0.8292682926829268,0.9444444444444444,0.7391304347826086
26,5,0.0036372230388224125,0.8084200546126402,0.8095238095238095,0.8947368421052632,0.7391304347826086
26,6,0.0031862061005085707,0.8049343092855982,0.8095238095238095,0.8947368421052632,0.7391304347826086
26,7,0.0028546196408569813,0.8016915672728151,0.8095238095238095,0.8947368421052632,0.7391304347826086
26,8,0.0028395741246640682,0.7940331152072412,0.8,0.9411764705882353,0.6956521739130435
26,9,0.0026286120992153883,0.7845444463844867,0.8,0.9411764705882353,0.6956521739130435
26,10,0.002453646855428815,0.7686116692186425,0.8,0.9411764705882353,0.6956521739130435
27,1,0.010014339350163937,0.6114289933052494,0.6470588235294118,1.0,0.4782608695652174
27,2,0.006122687831521034,0.7707553379658423,0.7692307692307693,0.9375,0.6521739130434783
27,3,0.004888398107141256,0.827403249411595,0.8095238095238095,0.8947368421052632,0.7391304347826086
27,4,0.0038665947504341602,0.8263762971574992,0.8181818181818182,0.8571428571428571,0.782608695652174
27,5,0.003398383501917124,0.8150968017969242,0.8181818181818182,0.8571428571428571,0.782608695652174
27,6,0.0030244197696447372,0.8137937918448929,0.8181818181818182,0.8571428571428571,0.782608695652174
27,7,0.003127065021544695,0.8084085099743762,0.8,0.9411764705882353,0.6956521739130435
27,8,0.002856577280908823,0.801972507628676,0.8,0.9411764705882353,0.6956521739130435
27,9,0.0026450688019394875,0.789517444875032,0.8,0.9411764705882353,0.6956521739130435
27,10,0.0024742919486016035,0.7706098030007407,0.8,0.9411764705882353,0.6956521739130435
28,1,0.008499154821038246,0.6464326540627081,0.65,0.7647058823529411,0.5652173913043478
28,2,0.0065314131788909435,0.7796187653061013,0.7894736842105263,1.0,0.6521739130434783
28,3,0.004964969586580992,0.8138664678824862,0.8095238095238095,0.8947368421052632,0.7391304347826086
28,4,0.004710846580564976,0.8240639852138708,0.8205128205128205,1.0,0.6956521739130435
28,5,0.004116285592317581,0.8191338857901972,0.8205128205128205,1.0,0.6956521739130435
28,6,0.0030534863471984863,0.8130018995879702,0.8181818181818182,0.8571428571428571,0.782608695652174
28,7,0.0033137553837150335,0.8056132940958208,0.8,0.9411764705882353,0.6956521739130435
28,8,0.003016861155629158,0.8008277980536702,0.8,0.9411764705882353,0.6956521739130435
28,9,0.00278474111109972,0.7953458938820258,0.8,0.9411764705882353,0.6956521739130435
28,10,0.0025979033671319485,0.7876100714728466,0.8,0.9411764705882353,0.6956521739130435
29,1,0.008834906853735447,0.6353680955197245,0.6842105263157895,0.8666666666666667,0.5652173913043478
29,2,0.005318460054695606,0.7796103301973167,0.7906976744186046,0.85,0.7391304347826086
